denovo	std	CRC_logabun	H_logabun	nonCRC_logabun	delta_logabun	snr	abs_snr	CRC_presence	H_presence	nonCRC_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Actinobacillus	0.45722685016	-5.54763229842	-5.57194036432	-5.55844007828	0.0243080659022	0.0531641260651	0.0531641260651	0.0666666666667	0.0581395348837	0.0555555555556	0.00852713178295	0.00852713178295	125	132
g__Turicibacter	1.36335046482	-3.9007839756	-3.79516088181	-3.71964804028	-0.105623093786	-0.0774731784023	0.0774731784023	0.683333333333	0.691860465116	0.727272727273	-0.00852713178295	0.00852713178295	106	133
g__Anaerosporobacter	1.07150629504	-5.01048953793	-4.94116730437	-4.89823934814	-0.0693222335573	-0.0646960581363	0.0646960581363	0.333333333333	0.325581395349	0.343434343434	0.0077519379845	0.0077519379845	113	134
g__Sarcina	0.367402135339	-5.60204453358	-5.63319749937	-5.61251421203	0.0311529657847	0.0847925550458	0.0847925550458	0.025	0.0174418604651	0.020202020202	0.00755813953488	0.00755813953488	99	135
g__Saccharibacteria_genera_incertae_sedis	0.266197833283	-5.6237697935	-5.63730550543	-5.6098837289	0.0135357119329	0.050848317456	0.050848317456	0.025	0.0174418604651	0.040404040404	0.00755813953488	0.00755813953488	129	136
g__Olsenella	0.362817462519	-5.60272288193	-5.5740600807	-5.63702422369	-0.0286628012376	-0.0790006110472	0.0790006110472	0.0333333333333	0.0406976744186	0.0151515151515	-0.00736434108527	0.00736434108527	104	137
g__Bacillus	0.373139010191	-5.61425591544	-5.5815979635	-5.60334775839	-0.032657951936	-0.0875222130201	0.0875222130201	0.0333333333333	0.0406976744186	0.030303030303	-0.00736434108527	0.00736434108527	96	138
g__Acetivibrio	0.653046383	-5.52070625206	-5.48931949602	-5.42624919744	-0.0313867560394	-0.0480620624453	0.0480620624453	0.075	0.0813953488372	0.10101010101	-0.00639534883721	0.00639534883721	133	139
g__Leuconostoc	0.669383830466	-5.41067412511	-5.40710532762	-5.42612072767	-0.00356879748365	-0.00533146652372	0.00533146652372	0.133333333333	0.139534883721	0.126262626263	-0.0062015503876	0.0062015503876	160	140
g__Faecalibacterium	0.512888876822	-1.4415541488	-1.41710509162	-1.43479925643	-0.0244490571772	-0.0476693067097	0.0476693067097	1.0	0.994186046512	1.0	0.00581395348837	0.00581395348837	134	141
g__Clostridium_XlVa	0.42946943057	-1.81282345591	-1.87291125943	-1.91815605789	0.0600878035249	0.139911712564	0.139911712564	1.0	0.994186046512	0.994949494949	0.00581395348837	0.00581395348837	69	142
g__Anaerostipes	0.640463174254	-1.86248550205	-1.66758557173	-1.74467477964	-0.194899930312	-0.304310908334	0.304310908334	1.0	0.994186046512	0.989898989899	0.00581395348837	0.00581395348837	18	143
