denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Mogibacterium	0.234895689086	-4.39919807638	-4.484956915	-4.45684246718	0.0857588386138	0.365093284374	0.365093284374	0.0752688172043	0.012987012987	0.0337078651685	0.0622818042173	0.0622818042173	58	71
g__Atopobium	0.26276582743	-4.40678498174	-4.48543075318	-4.38431552892	0.0786457714392	0.299299845069	0.299299845069	0.0752688172043	0.012987012987	0.101123595506	0.0622818042173	0.0622818042173	68	72
g__Acinetobacter	0.273761373927	-4.48288901871	-4.39433620782	-4.49557208711	-0.0885528108903	-0.323467148123	0.323467148123	0.010752688172	0.0714285714286	0.0	-0.0606758832565	0.0606758832565	64	73
g__Howardella	0.345405183797	-4.44065288705	-4.38030659648	-4.43716745633	-0.0603462905694	-0.174711594962	0.174711594962	0.0322580645161	0.0909090909091	0.0337078651685	-0.058651026393	0.058651026393	87	74
g__Bifidobacterium	0.940159004383	-3.81581653776	-3.92165984208	-3.82939810736	0.10584330432	0.112580216566	0.112580216566	0.408602150538	0.350649350649	0.359550561798	0.0579527998883	0.0579527998883	96	75
g__Pseudoflavonifractor	0.232153682521	-4.47036350561	-4.43014609588	-4.44311043269	-0.0402174097312	-0.173236148117	0.173236148117	0.0215053763441	0.0779220779221	0.0337078651685	-0.056416701578	0.056416701578	88	76
g__Haemophilus	0.658166380849	-4.2064624078	-4.23454115255	-4.18702239439	0.028078744758	0.0426620769079	0.0426620769079	0.172043010753	0.227272727273	0.14606741573	-0.05522971652	0.05522971652	109	77
g__Pantoea	0.172184714943	-4.43129695715	-4.49557208711	-4.46398753336	0.0642751299579	0.373291729054	0.373291729054	0.0537634408602	0.0	0.0337078651685	0.0537634408602	0.0537634408602	56	78
g__Sediminibacterium	0.147847175741	-4.49557208711	-4.4464885149	-4.49557208711	-0.0490835722089	-0.33198856835	0.33198856835	0.0	0.0519480519481	0.0	-0.0519480519481	0.0519480519481	63	79
g__Clostridium_sensu_stricto	1.13551693314	-3.16669421599	-3.41790585467	-3.79317433237	0.251211638683	0.221231081063	0.221231081063	0.634408602151	0.584415584416	0.314606741573	0.049993017735	0.049993017735	82	80
